,Year,Genre,North America,Europe,Japan,Rest of World,Global,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
104,0.9945598417408507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03
105,0.9881305637982196,1,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.12,0.03,0.41
106,0.9960435212660732,1,0.0,0.0,0.0,0.0,0.0,1.08,0.11,0.0,0.27,1.45
107,0.9906033630069239,0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.0,0.0,0.1
108,0.9930761622156281,1,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.02,0.23
109,0.9975272007912958,0,0.11,0.06,0.02,0.04,0.22,0.0,0.0,0.0,0.0,0.0
110,0.9950544015825915,0,0.0,0.0,0.0,0.0,0.0,0.16,0.18,0.0,0.03,0.36
111,0.9891196834817013,0,0.0,0.0,0.0,0.0,0.0,0.17,0.11,0.0,0.02,0.3
112,0.9891196834817013,0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.0,0.01,0.17
113,0.9915924826904056,0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.04
114,0.9945598417408507,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.02,0.09
115,0.9930761622156281,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.1
116,0.9910979228486647,0,0.0,0.0,0.0,0.0,0.0,0.35,0.27,0.0,0.09,0.71
117,0.9876360039564788,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1
118,0.9940652818991098,1,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.09
119,0.996538081107814,0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.0,0.01,0.13
120,0.9950544015825915,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03
121,0.993570722057369,0,0.0,0.0,0.0,0.0,0.0,0.21,0.16,0.0,0.05,0.43
122,0.990108803165183,1,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.08
123,0.993570722057369,1,0.0,0.0,0.0,0.0,0.0,2.03,0.13,0.0,0.21,2.37
124,0.9945598417408507,0,0.0,0.0,0.0,0.0,0.0,0.14,0.07,0.0,0.03,0.24
125,0.9925816023738873,0,0.0,0.0,0.0,0.0,0.0,0.68,0.82,0.0,0.19,1.7
126,0.9955489614243324,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08
127,0.9920870425321464,1,0.0,0.0,0.0,0.0,0.0,0.38,0.01,0.0,0.06,0.45
128,0.996538081107814,0,0.0,0.0,0.0,0.0,0.0,0.36,0.59,0.04,0.18,1.17
129,0.9960435212660732,0,0.0,0.0,0.0,0.0,0.0,0.15,0.26,0.0,0.03,0.45
130,0.9906033630069239,1,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.0,0.07
131,0.9940652818991098,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
132,0.9920870425321464,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02
133,0.9920870425321464,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35
134,0.9930761622156281,1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.01,0.12
135,0.9950544015825915,0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.06,0.02,0.2
136,0.993570722057369,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03
137,0.0,1,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.02,0.42
138,0.9910979228486647,1,0.0,0.0,0.0,0.0,0.0,0.32,0.09,0.0,0.02,0.42
139,0.9925816023738873,1,0.0,0.0,0.0,0.0,0.0,0.49,0.02,0.0,0.04,0.56
140,0.9960435212660732,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04
141,0.9960435212660732,0,2.34,0.9,0.0,0.34,3.58,0.0,0.0,0.0,0.0,0.0
142,0.9960435212660732,0,0.0,0.0,0.0,0.0,0.0,0.1,0.16,0.0,0.02,0.27
143,0.9876360039564788,1,0.0,0.0,0.0,0.0,0.0,0.15,0.04,0.13,0.0,0.32
144,0.9925816023738873,0,0.0,0.0,0.0,0.0,0.0,0.43,0.03,0.0,0.04,0.5
145,0.9950544015825915,0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.02,0.2
146,0.9925816023738873,0,0.0,0.0,0.0,0.0,0.0,0.67,0.43,0.29,0.14,1.52
147,0.9970326409495549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
148,0.9925816023738873,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04
149,0.9915924826904056,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03
150,0.9930761622156281,1,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.03,0.38
151,0.9910979228486647,1,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.05
152,0.9945598417408507,0,0.0,0.0,0.0,0.0,0.0,0.32,0.2,0.0,0.05,0.57
153,0.9950544015825915,0,0.0,0.0,0.0,0.0,0.0,0.36,0.04,0.04,0.04,0.49
154,0.9915924826904056,1,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.0,0.0,0.14
155,0.9940652818991098,1,0.0,0.0,0.0,0.0,0.0,0.79,0.41,0.0,0.11,1.32
156,0.9846686449060337,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38
157,0.996538081107814,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02
158,0.9910979228486647,0,0.0,0.0,0.0,0.0,0.0,0.16,0.05,0.0,0.01,0.22
159,0.9960435212660732,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14
160,0.9950544015825915,0,0.0,0.0,0.0,0.0,0.0,0.75,0.44,0.0,0.11,1.3
161,0.993570722057369,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09
162,0.9930761622156281,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03
163,0.993570722057369,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02
164,0.9876360039564788,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.01,0.19
165,0.9960435212660732,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.01,0.02,0.11
166,0.9950544015825915,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
167,0.9915924826904056,1,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.0,0.01,0.14
168,0.996538081107814,0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.04,0.46
169,0.9945598417408507,0,0.0,0.0,0.0,0.0,0.0,0.1,0.13,0.0,0.03,0.25
170,0.9915924826904056,0,0.0,0.0,0.0,0.0,0.0,0.99,0.63,0.29,0.19,2.09
171,0.9960435212660732,0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.0,0.01,0.09
172,0.9940652818991098,0,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.01,0.07,0.3
173,0.9955489614243324,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01
174,0.9910979228486647,1,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.0,0.03,0.2
175,0.9930761622156281,1,0.0,0.0,0.0,0.0,0.0,1.11,0.85,0.29,0.25,2.5
176,0.9970326409495549,0,0.0,0.0,0.0,0.0,0.0,0.07,0.16,0.0,0.04,0.26
177,0.9930761622156281,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.09,0.01,0.27
178,0.993570722057369,0,0.0,0.0,0.0,0.0,0.0,0.22,0.14,0.0,0.04,0.39
179,0.996538081107814,0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.05
180,0.9940652818991098,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.03
181,0.9940652818991098,1,0.0,0.0,0.0,0.0,0.0,0.3,0.64,0.07,0.22,1.23
182,0.9955489614243324,0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.0,0.01,0.09
183,0.993570722057369,0,0.0,0.0,0.0,0.0,0.0,0.21,0.12,0.0,0.07,0.4
184,0.996538081107814,0,0.0,0.0,0.0,0.0,0.0,0.13,0.24,0.1,0.07,0.55
185,0.9925816023738873,0,0.0,0.0,0.0,0.0,0.0,0.25,0.24,0.0,0.14,0.63
186,0.9960435212660732,0,0.0,0.0,0.0,0.0,0.0,0.12,0.27,0.0,0.07,0.46
187,0.9930761622156281,0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.41,0.65
188,0.9930761622156281,0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.0,0.03,0.21
189,0.9955489614243324,1,0.0,0.0,0.0,0.0,0.0,1.44,0.31,0.04,0.32,2.11
190,0.9910979228486647,1,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.0,0.0,0.11
191,0.9925816023738873,0,0.0,0.0,0.0,0.0,0.0,0.54,0.09,0.0,0.06,0.68
192,0.9896142433234422,1,0.0,0.0,0.0,0.0,0.0,0.14,0.05,0.0,0.0,0.2
193,0.9960435212660732,1,0.32,0.23,0.0,0.05,0.61,0.0,0.0,0.0,0.0,0.0
194,0.993570722057369,1,0.0,0.0,0.0,0.0,0.0,0.51,0.01,0.0,0.04,0.56
195,0.9940652818991098,0,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.0,0.02,0.22
196,0.990108803165183,0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.06,0.05,0.46
197,0.9910979228486647,1,0.0,0.0,0.0,0.0,0.0,0.41,0.32,0.0,0.11,0.84
198,0.9910979228486647,0,0.0,0.0,0.0,0.0,0.0,0.31,0.08,0.0,0.01,0.4
199,0.9945598417408507,1,0.0,0.0,0.0,0.0,0.0,1.38,0.72,0.02,0.22,2.34
200,0.9906033630069239,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1
201,0.9886251236399605,1,0.0,0.0,0.0,0.0,0.0,0.47,0.11,0.0,0.01,0.59
202,0.9950544015825915,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02
203,0.9915924826904056,1,0.0,0.0,0.0,0.0,0.0,0.12,2.26,0.9,0.77,4.06
204,0.990108803165183,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1
205,0.9955489614243324,1,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.04,0.48
206,0.9910979228486647,0,0.0,0.0,0.0,0.0,0.0,0.49,0.18,0.0,0.01,0.68
207,0.9881305637982196,1,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.35,0.03,0.42
208,0.9930761622156281,0,0.0,0.0,0.0,0.0,0.0,0.16,0.04,0.08,0.02,0.3
209,0.9802176063303659,0,0.0,0.0,0.0,0.0,0.0,0.26,0.02,0.0,0.0,0.28
210,0.990108803165183,0,0.0,0.0,0.0,0.0,0.0,0.19,0.07,0.0,0.0,0.26
211,0.990108803165183,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.03
212,0.993570722057369,0,0.0,0.0,0.0,0.0,0.0,0.21,0.22,0.05,0.09,0.56
